ticker,company_name,current_price,managers,total_value,avg_portfolio_pct,manager_count,max_portfolio_pct,conviction_score
CMG,Chipotle Mexican Grill Inc.,31.69,Bill Ackman,1209537000,8.81,1,8.81,7.25
CVS,CVS Health Corp.,78.15,"Richard Pzena
Prem Watsa",218373000,7.65,2,9.99,7.22
PHM,PulteGroup Inc.,119.87,Greenhaven Associates,588512000,8.76,1,8.76,7.21
ALC,Alcon Inc.,73.89,AKO Capital,681452000,8.6,1,8.6,7.08
CRH,CRH plc,119.1,Seth Klarman,351171000,8.54,1,8.54,7.03
AVGO,Broadcom Inc.,369.63,William Von Mueffling,1550491000,8.54,1,8.54,7.03
CDW,CDW Corp.,159.37,Tom Bancroft,27736000,8.44,1,8.44,6.95
FLR,Fluor Corp.,48.77,David Einhorn,195830000,8.42,1,8.42,6.94
DB,Deutsche Bank AG,35.77,"Sarah Ketterer
Third Avenue Management",600600000,7.63,2,9.04,6.93
LNC,Lincoln National,42.0,Bill Miller,19704000,8.36,1,8.36,6.89
ET,Energy Transfer LP,16.83,Leon Cooperman,237412000,8.34,1,8.34,6.87
BKNG,Booking Holdings Inc.,5077.74,"David Rolfe
Pat Dorsey
AKO Capital",536931000,6.85,3,9.49,6.87
TDW,Tidewater Inc.,50.59,Third Avenue Management,40371000,8.33,1,8.33,6.86
ORLY,O'Reilly Automotive,94.44,Chuck Akre,848188000,8.31,1,8.31,6.85
TSM,Taiwan Semiconductor S.A.,300.43,"Lee Ainslie
David Rolfe
Stephen Mandel",1224030000,6.97,3,9.16,6.83
LAMR,Lamar Advertising Co.,118.59,Tom Bancroft,27216000,8.28,1,8.28,6.82
ABG,Asbury Automotive Group Inc.,234.6,David Abrams,502971000,8.23,1,8.23,6.78
VST,Vistra Corp.,188.3,"David Tepper
Stephen Mandel",1602754000,7.24,2,9.08,6.75
